424	4076	993
1311	1574	957
1671	410	146
997	1686	1417
1422	2304	159
121	1928	93
168	117	496
574	1057	374
833	594	5786
110	940	265
848	344	298
86	675	249
976	42	5
686	769	1986
1660	3273	3
1850	931	1517
769	2318	62
116	1889	248
1001	4084	890
1768	2250	246
1832	2878	502
314	588	450
1746	299	1977
1259	911	210
275	484	166
829	730	108
920	111	4
417	2358	5439
107	745	538
782	4042	20
509	3343	313
1489	673	919
768	961	24
1288	1305	477
817	2265	98
1649	631	74
381	2395	15
1039	385	106
953	102	277
1247	3613	725
561	1411	142
758	169	4
805	1188	295
1578	544	1524
1404	931	125
1080	231	327
845	3839	280
72	334	82
364	191	395
1314	169	304
377	2530	217
1732	2710	48
261	483	687
953	1247	181
621	445	491
40	902	301
1788	3639	581
1596	336	99
238	2759	668
309	690	314
1521	3377	99
1873	844	682
1081	494	103
995	3053	120
1424	1937	447
1486	1305	1009
919	42	213
457	824	175
698	720	556
314	3094	510
1773	1523	633
1072	1813	627
1514	991	401
245	1021	453
234	1541	910
1251	4391	73
378	791	52
1869	1648	2853
53	1060	461
59	1149	267
115	516	178
670	1394	380
1155	930	396
1704	438	102
1597	114	1978
392	828	314
1146	4330	1121
309	403	293
1880	790	352
709	293	98
984	3908	262
1889	2303	337
703	1523	799
757	186	201
1111	3825	170
1118	3311	13
664	1783	372
1643	2061	106
330	423	455
652	703	253
1083	297	460
1219	589	144
325	1321	485
1387	105	605
199	2556	98
1687	546	506
1054	131	999
1580	4162	131
431	1757	23
450	2927	119
1703	2313	74
1220	116	4
619	2127	184
401	2928	4695
1248	377	164
305	293	139
1817	42	43
1664	3574	195
1664	328	207
1609	149	313
525	2649	13061
1617	2153	306
1070	592	1809
1447	12	236
514	221	74
504	82	185
1802	754	484
277	2962	4
1639	771	431
513	3662	103
490	1909	3
735	185	293
379	184	1171
1350	2323	125
59	938	438
1426	240	314
1300	3725	623
938	1450	547
1490	550	1368
322	893	395
1472	2357	141
422	1097	26
96	1690	70
1548	51	150
767	805	87
935	1144	237
1286	953	906
1808	1808	1056
414	643	23
902	624	559
1363	1557	334
1626	1731	56
911	449	186
947	4299	31
1185	4046	475
1463	65	50
283	191	1991
1829	1984	351
230	2071	201
666	3262	161
1431	782	182
1218	351	72
1578	611	864
1497	403	494
496	1341	13006
1203	3113	325
970	3346	81
121	87	126
1744	2041	108
926	1863	12
29	704	88
918	167	92
526	2217	452
571	1222	2123
1258	334	22
1066	4380	16
1190	543	618
75	1441	107
1240	956	96
1013	301	1333
1714	674	2847
1182	4430	831
697	794	578
714	389	355
131	704	666
708	126	186
1397	996	218
278	765	601
1008	383	789
1010	1804	34
1451	1153	388
1002	1587	78
150	2127	2808
1252	141	1458
898	208	335
35	559	238
538	611	285
573	313	129
742	2546	100
242	1346	2
683	2382	40
121	1931	71
1389	2612	416
838	3320	31
1037	2850	17
1161	372	2633
296	1756	259
481	127	377
291	650	194
1554	401	103
350	470	118
1470	2109	381
61	531	100
778	3158	193
55	784	161
1056	1500	198
1328	611	124
1194	1562	242
155	2193	1337
1853	2854	567
1657	634	215
595	446	373
564	1677	721
269	2921	498
639	62	3443
1199	1034	81
848	468	552
190	841	169
1757	2446	265
157	2210	560
1092	4069	5009
864	1448	404
1640	2290	250
1381	181	240
1582	3775	495
906	828	203
957	683	592
1004	1996	643
1290	857	387
845	258	401
308	3075	1502
293	882	327
1146	1222	707
317	3100	385
359	824	156
1794	2658	55
1611	956	61
1318	179	313
137	2046	57
1441	1187	1430
1579	477	27
427	1110	169
261	1462	9796
190	597	78
489	3536	764
710	1241	269
1642	439	2
249	630	132
191	2015	138
1144	2429	146
401	648	4982
935	714	338
1380	242	1053
1256	2026	212
1452	963	126
188	307	496
923	272	56
938	329	432
976	177	20
795	512	396
661	1619	3
1047	901	879
1348	119	309
1397	546	184
976	2176	7
1749	2266	397
1519	1232	924
106	1392	3539
491	1818	385
1534	886	75
790	1538	1396
1333	4461	209
866	304	863
1005	42	70
1178	122	302
1419	176	472
875	866	621
1392	1260	387
283	325	7609
1844	122	104
1064	2879	1011
1539	500	27
1155	3202	563
1119	977	402
655	429	521
1644	192	87
863	2771	205
1652	1629	640
846	1034	338
542	848	508
1179	1020	69
1238	1564	815
813	3210	99
922	138	228
91	1647	125
525	444	1652
862	3411	107
1131	1683	275
728	1736	100
399	3389	420
1287	2151	311
1364	1473	18
216	1070	2
168	1068	657
1531	3378	74
1569	1969	691
83	511	1459
1487	302	248
536	2082	176
525	1062	1550
751	3837	328
1311	2414	278
1676	119	347
1525	1135	499
1508	1222	184
1538	1868	159
290	346	63
1070	4173	158
1854	1175	9
1145	2136	219
998	865	183
182	1170	16
891	252	404
987	893	61
169	1879	292
815	496	49
1427	336	134
833	512	4549
285	118	36
211	143	146
1678	4131	493
698	3141	479
551	1451	22
167	811	315
1103	2670	37
969	967	120
847	309	4705
1450	1065	156
459	924	211
1825	133	4
1751	3327	175
1044	973	325
924	2939	69
256	323	439
1705	932	266
355	1546	1027
722	712	421
1732	2967	63
1769	185	2987
1461	2141	902
620	344	132
1364	1298	26
1648	1600	88
1353	702	176
1753	434	898
496	192	181
1269	1684	6
1075	291	300
978	2503	89
1095	674	568
205	696	73
1369	695	271
1470	1386	329
780	3722	364
1531	824	119
1363	3110	356
